Chain1,Chain2,Chain3,Chain4,Chain5,Chain6,Chain7
2297,921,457,214,108,49,35
2128,896,438,206,106,51,23
2079,847,461,238,107,51,24
2347,929,440,213,95,44,22
2075,924,477,215,103,48,25
1957,857,500,243,105,50,30
2057,875,452,207,109,52,32
2156,925,477,215,94,48,26
2030,958,422,210,102,54,28
2236,958,512,201,131,46,25
2233,942,485,237,106,64,25
2117,925,420,215,112,56,23
2016,934,429,212,120,55,22
2063,889,403,250,121,54,25
2312,968,,249,124,85,24
2202,901,,209,108,45,25
2037,,,208,112,58,30
2115,,,199,118,51,32
2285,,,194,115,52,28
2073,,,207,105,53,25
1982,,,208,100,51,
,,,,104,51,
,,,,100,51,
,,,,110,45,
,,,,96,52,
,,,,,48,
